-----RESULTS PRWTOS GYROS-----

Alba VS Anadolu_Efes	81 - 72
Real_Madrid VS Alba	57 - 81
Real_Madrid VS Anadolu_Efes	88 - 55
Real_Madrid VS Armani_Exchange_Olimpia	86 - 53
Real_Madrid VS Asvel_Villeurbanne	57 - 62
Real_Madrid VS Crvena	88 - 61
Real_Madrid VS Cska	77 - 65
Real_Madrid VS Barcelona_Lassa	75 - 68
Real_Madrid VS Bayern	97 - 68
Real_Madrid VS Fenerbahce	62 - 55
Real_Madrid VS Khimki	61 - 76
Real_Madrid VS Kirolbet_Baskonia_Vitoria_GasteizSpain	95 - 78
Real_Madrid VS Maccabi	98 - 73
Real_Madrid VS Olympiacos	94 - 61
Real_Madrid VS Panathinaikos	74 - 70
Real_Madrid VS Valencia	86 - 54
Real_Madrid VS Zalgiris_Kaunas	68 - 55
Real_Madrid VS Zenit	95 - 53
Valencia VS Alba	52 - 66
Valencia VS Anadolu_Efes	65 - 64
Valencia VS Armani_Exchange_Olimpia	62 - 85
Valencia VS Asvel_Villeurbanne	76 - 82
Valencia VS Crvena	76 - 54
Valencia VS Cska	58 - 64
Valencia VS Barcelona_Lassa	58 - 54
Valencia VS Bayern	82 - 53
Valencia VS Fenerbahce	83 - 69
Valencia VS Khimki	60 - 59
Valencia VS Kirolbet_Baskonia_Vitoria_GasteizSpain	62 - 55
Valencia VS Maccabi	70 - 83
Valencia VS Olympiacos	81 - 87
Valencia VS Panathinaikos	77 - 70
Valencia VS Real_Madrid	70 - 80
Valencia VS Zalgiris_Kaunas	67 - 72
Valencia VS Zenit	74 - 58
Zalgiris_Kaunas VS Alba	68 - 58
Zalgiris_Kaunas VS Anadolu_Efes	60 - 95
Zalgiris_Kaunas VS Armani_Exchange_Olimpia	65 - 83
Zalgiris_Kaunas VS Asvel_Villeurbanne	84 - 82
Zalgiris_Kaunas VS Crvena	64 - 77
Zalgiris_Kaunas VS Cska	89 - 76
Zalgiris_Kaunas VS Barcelona_Lassa	75 - 60
Zalgiris_Kaunas VS Bayern	75 - 58
Zalgiris_Kaunas VS Fenerbahce	56 - 90
Zalgiris_Kaunas VS Khimki	69 - 70
Zalgiris_Kaunas VS Kirolbet_Baskonia_Vitoria_GasteizSpain	88 - 75
Zalgiris_Kaunas VS Maccabi	70 - 53
Zalgiris_Kaunas VS Olympiacos	67 - 87
Zalgiris_Kaunas VS Panathinaikos	56 - 83
Zalgiris_Kaunas VS Real_Madrid	75 - 91
Zalgiris_Kaunas VS Valencia	56 - 65
Zalgiris_Kaunas VS Zenit	56 - 71
Zenit VS Alba	67 - 62
Zenit VS Anadolu_Efes	76 - 89
Zenit VS Armani_Exchange_Olimpia	59 - 62
Zenit VS Asvel_Villeurbanne	65 - 64
Zenit VS Crvena	71 - 79
Zenit VS Cska	80 - 90
Zenit VS Barcelona_Lassa	74 - 63
Zenit VS Bayern	77 - 74
Zenit VS Fenerbahce	66 - 50
Zenit VS Khimki	63 - 85
Zenit VS Kirolbet_Baskonia_Vitoria_GasteizSpain	77 - 63
Zenit VS Maccabi	77 - 86
Zenit VS Olympiacos	78 - 87
Zenit VS Panathinaikos	66 - 67
Zenit VS Real_Madrid	77 - 92
Zenit VS Valencia	71 - 76
Zenit VS Zalgiris_Kaunas	79 - 65

-----PRWTOS GYROS TELOS-----

----- RESULTS DEYTEROS GYROS-----

Real_Madrid VS Anadolu_Efes	80 - 67
Fenerbahce VS Panathinaikos	82 - 60
Maccabi VS Khimki	54 - 63
Cska VS Armani_Exchange_Olimpia	62 - 77

-----DEYTEROS GYROS TELOS-----

-----RESULTS F4-----

FINAL
Armani_Exchange_Olimpia VS Fenerbahce	58 - 69
SMALL FINAL
Real_Madrid VS Khimki	79 - 77
